# KEGG facts behind kegg_predicates.tsv, generated by scripts/build_kegg_predicate_map.py; edit the proposals or rules, not this file.
# KEGG: KEGG REST retrieved 2026-09-24; ko_list.tsv sha256 bf37ae22839f8805 (28564 KOs); modules.txt sha256 b9b2b815ef61c8eb (574 modules); ko_list sha256 05f9267a37f1cec8 (75 KOfam KOs absent from KEGG REST)
# Swiss-Prot: uniprot_sprot.dat.gz 2026_03 sha256 c87208822a56e8ae (428,778 reviewed proteins linked to KOs); KEGG gene links swissprot_kegg_ko.tsv sha256 20ab0dd3b910cb82; go-basic.obo sha256 b08d45b268b8c24c
# ko	symbols	name	brite	modules
K16149	K16149	1,4-alpha-glucan branching enzyme [EC:2.4.1.18]		M00565,M00854
K16150	K16150	glycogen synthase [EC:2.4.1.11]	ko01003:Polysaccharide > Storage polysaccharide	M00854
K16152	hasR	heme acquisition protein HasR	ko02000:Other transporters > Pores ion channels [TC:1]	
K16153	K16153	glycogen phosphorylase/synthase [EC:2.4.1.1 2.4.1.11]	ko01003:Polysaccharide > Storage polysaccharide	M00854,M00855
K16157	mmoX	methane monooxygenase component A alpha chain [EC:1.14.13.25]		M00174+
K16158	mmoY	methane monooxygenase component A beta chain [EC:1.14.13.25]		M00174+
K16159	mmoZ	methane monooxygenase component A gamma chain [EC:1.14.13.25]		M00174+
K16160	mmoB	methane monooxygenase regulatory protein B		M00174+
K16161	mmoC	methane monooxygenase component C [EC:1.14.13.25]		M00174+
K16162	mmoD	methane monooxygenase component D		M00174+
K16163	K16163	maleylpyruvate isomerase [EC:5.2.1.4]		
K16164	K16164	acylpyruvate hydrolase [EC:3.7.1.5]		
K16165	nagK	fumarylpyruvate hydrolase [EC:3.7.1.20]		
K16166	PAP1, MYB75	transcription factor MYB75	ko03000:Eukaryotic type > Helix-turn-helix > Tryptophan clusters Myb, Myb-factors	
K16167	bpsA, srsA, pks11, pks10	alkylresorcinol/alkylpyrone synthase		
K16168	bpsB, srsB	methyltransferase		
K16169	pbuX	xanthine permease	ko02000:Other transporters > Electrochemical potential-driven transporters [TC:2]	
K16170	pucJ, pucK	uric acid permease	ko02000:Other transporters > Electrochemical potential-driven transporters [TC:2]	
K16171	faaH	fumarylacetoacetate (FAA) hydrolase [EC:3.7.1.2]		M00044
K16173	acd	glutaryl-CoA dehydrogenase (non-decarboxylating) [EC:1.3.99.32]		
K16174	MRPS18B, MRPS18-2	small subunit ribosomal protein S18b, mitochondrial	ko03011:Ribosomal proteins > Mitochondria/ Chloroplast > Small subunit	
K16175	SCRIB	protein scribble		
K16176	mtmB	methylamine---corrinoid protein Co-methyltransferase [EC:2.1.1.248]		M00563+
K16177	mtmC	monomethylamine corrinoid protein		M00563+
K16178	mtbB	dimethylamine---corrinoid protein Co-methyltransferase [EC:2.1.1.249]		M00563+
K16179	mtbC	dimethylamine corrinoid protein		M00563+
K16180	pylB	methylornithine synthase [EC:5.4.99.58]		
K16181	pylC	3-methylornithine--L-lysine ligase [EC:6.3.2.59]		
K16182	pylD	3-methylornithyl-N6-L-lysine dehydrogenase [EC:1.4.1.-]		
K16183	ramA	[Co(II) methylated amine-specific corrinoid protein] reductase [EC:1.16.99.1]		
K16185	RRAGA_B	Ras-related GTP-binding protein A/B		
K16186	RRAGC_D	Ras-related GTP-binding protein C/D		
K16188	ytpB	tetraprenyl-beta-curcumene synthase [EC:4.2.3.130]		
K16189	PIF, PIL	phytochrome-interacting factor	ko03000:Eukaryotic type > Basic helix-loop-helix (bHLH) > HLH domain only	
K16190	GLCAK	glucuronokinase [EC:2.7.1.43]		M00994
K16191	K16191, arfA	peptidoglycan-binding protein ArfA	ko02000:Other transporters > Pores ion channels [TC:1]	
K16192	K16192, arfB	uncharacterized membrane protein ArfB		
K16193	arfC	uncharacterized membrane protein ArfC		
K16194	EIF2AK1	eukaryotic translation initiation factor 2-alpha kinase 1 [EC:2.7.11.1]	ko03012:Eukaryotic type > Initiation factors > Initiation associated factors	
K16195	EIF2AK2	eukaryotic translation initiation factor 2-alpha kinase 2 [EC:2.7.11.1]	ko03012:Eukaryotic type > Initiation factors > Initiation associated factors	
K16196	EIF2AK4, GCN2	eukaryotic translation initiation factor 2-alpha kinase 4 [EC:2.7.11.1]	ko03012:Eukaryotic type > Initiation factors > Initiation associated factors	
K16199	dppE	dipeptide transport system substrate-binding protein	ko02000:ABC transporters, prokaryotic type > Peptide and nickel transporters > Dipeptide transporter	
K16200	dppB1	dipeptide transport system permease protein	ko02000:ABC transporters, prokaryotic type > Peptide and nickel transporters > Dipeptide transporter	
K16201	dppC	dipeptide transport system permease protein	ko02000:ABC transporters, prokaryotic type > Peptide and nickel transporters > Dipeptide transporter	
K16202	dppD	dipeptide transport system ATP-binding protein	ko02000:ABC transporters, prokaryotic type > Peptide and nickel transporters > Dipeptide transporter	
K16203	dppA1	D-amino peptidase [EC:3.4.11.-]	ko01002:Metallo peptidases > Family M55: DppA aminopeptidase family	
K16204	PEN6	seco-amyrin synthase [EC:5.4.99.52 5.4.99.54]		
K16205	PEN3	tirucalladienol synthase [EC:5.4.99.56]		
K16206	BARS1	baruol synthase [EC:5.4.99.57]		
K16207	MRN1	marneral synthase [EC:5.4.99.53]		
K16208	LUP5	lupeol synthase 5 [EC:5.4.99.-]		
K16209	lacS, galP, rafP	lactose/raffinose/galactose permease	ko02000:Other transporters > Electrochemical potential-driven transporters [TC:2]	
K16210	togT, rhiT	oligogalacturonide transporter	ko02000:Other transporters > Electrochemical potential-driven transporters [TC:2]	
K16211	malY, malT	maltose/moltooligosaccharide transporter	ko02000:Other transporters > Electrochemical potential-driven transporters [TC:2]	
K16212	mgp	4-O-beta-D-mannosyl-D-glucose phosphorylase [EC:2.4.1.281]		
K16213	cbe, mbe	cellobiose epimerase [EC:5.1.3.11]		
K16214	pezT	UDP-N-acetylglucosamine kinase [EC:2.7.1.176]	ko02048:Toxin-antitoxin system (TA system) > Type II TA system > PezT-PezA	
K16215	mrsA	2-ketoarginine methyltransferase [EC:2.1.1.243]		
K16216	yueD	benzil reductase ((S)-benzoin forming) [EC:1.1.1.320]		
K16217	gppmt	geranyl diphosphate 2-C-methyltransferase [EC:2.1.1.255]		
K16218	mibs	2-methylisoborneol synthase [EC:4.2.3.118]		
K16219	NTMT1, METTL11A, NTM1	protein N-terminal methyltransferase [EC:2.1.1.244]		
K16221	TCP21, CHE	transcription factor TCP21 (protein CCA1 HIKING EXPEDITION)	ko03000:Eukaryotic type > Other transcription factors > TCP	
K16222	CDF1	Dof zinc finger protein DOF5.5		
K16223	FT	protein FLOWERING LOCUS T		
K16224	FRK1	senescence-induced receptor-like serine/threonine-protein kinase		
K16227	gplH	glycopeptidolipid biosynthesis protein		
K16228	mps1	glycopeptidolipid biosynthesis protein		
K16229	mps2	glycopeptidolipid biosynthesis protein		
K16230	HAC1	transcriptional activator HAC1	ko03000:Eukaryotic type > Basic leucine zipper (bZIP) > CREB	
K16231	csyA	fungal type III polyketide synthase		
K16232	gcs	germicidin synthase		
K16233	pks18	alpha-pyrone synthase		
K16234	hutT	histidine transporter	ko02000:Other transporters > Electrochemical potential-driven transporters [TC:2]	
K16235	mmuP	S-methylmethionine transporter	ko02000:Other transporters > Electrochemical potential-driven transporters [TC:2]	
K16236	hutM	histidine permease	ko02000:Other transporters > Electrochemical potential-driven transporters [TC:2]	
K16237	aroP	aromatic amino acid permease	ko02000:Other transporters > Electrochemical potential-driven transporters [TC:2]	
K16238	eat, eutP	ethanolamine permease	ko02000:Other transporters > Electrochemical potential-driven transporters [TC:2]	
K16239	bsdC	4-hydroxybenzoate decarboxylase subunit C [EC:4.1.1.61]		
K16241	HY5	transcription factor HY5	ko03000:Eukaryotic type > Basic leucine zipper (bZIP) > Plant bZIP factors	
K16242	dmpN, poxD, tomA3	phenol/toluene 2-monooxygenase (NADH) P3/A3 [EC:1.14.13.244 1.14.13.243]		M00548+
K16243	dmpL, poxB, tomA1	phenol/toluene 2-monooxygenase (NADH) P1/A1 [EC:1.14.13.244 1.14.13.243]		M00548+
K16244	dmpM, poxC, tomA2	phenol/toluene 2-monooxygenase (NADH) P2/A2 [EC:1.14.13.244 1.14.13.243]		M00548+
K16245	dmpO, poxE, tomA4	phenol/toluene 2-monooxygenase (NADH) P4/A4 [EC:1.14.13.244 1.14.13.243]		M00548+
K16246	dmpP, poxF, tomA5	phenol/toluene 2-monooxygenase (NADH) P5/A5 [EC:1.14.13.244 1.14.13.243]		M00548+
K16247	gutR	LuxR family transcriptional regulator, glucitol operon activator	ko03000:Prokaryotic type > Helix-turn-helix > LuxR family	
K16248	gutA, gutP	probable glucitol transport protein GutA	ko02000:Other transporters > Electrochemical potential-driven transporters [TC:2]	
K16249	dmpK, poxA, tomA0	phenol/toluene 2-monooxygenase (NADH) P0/A0		M00548+
K16250	NRPD1	DNA-directed RNA polymerase IV subunit 1 [EC:2.7.7.6]	ko03021:Eukaryotic type > RNA polymerase II system > RNA polymerase II > Pol IV and V specific subunits	
K16251	NRPE1	DNA-directed RNA polymerase V subunit 1 [EC:2.7.7.6]	ko03021:Eukaryotic type > RNA polymerase II system > RNA polymerase II > Pol IV and V specific subunits	
K16252	NRPD2, NRPE2	DNA-directed RNA polymerase IV and V subunit 2 [EC:2.7.7.6]	ko03021:Eukaryotic type > RNA polymerase II system > RNA polymerase II > Pol IV and V specific subunits	
K16253	NRPD7, NRPE7	DNA-directed RNA polymerase IV and V subunit 7	ko03021:Eukaryotic type > RNA polymerase II system > RNA polymerase II > Pol IV and V specific subunits	
K16261	YAT	yeast amino acid transporter	ko02000:Other transporters > Electrochemical potential-driven transporters [TC:2]	
K16262	PHS, POT1	polyamine:H+ symporter	ko02000:Other transporters > Electrochemical potential-driven transporters [TC:2]	
K16263	yjeH	amino acid efflux transporter	ko02000:Other transporters > Electrochemical potential-driven transporters [TC:2]	
K16264	czcD, zitB	cobalt-zinc-cadmium efflux system protein	ko02000:Other transporters > Electrochemical potential-driven transporters [TC:2]	
K16265	CYP71E7	(E)-2-methylbutanal oxime monooxygenase [EC:1.14.14.41]		
K16266	UGT85K	cyanohydrin UDP-glucosyltransferase [EC:2.4.1.-]		
K16267	zipB	zinc and cadmium transporter	ko02000:Other transporters > Electrochemical potential-driven transporters [TC:2]	
K16268	todC2, bedC2, tcbAb	benzene/toluene/chlorobenzene dioxygenase subunit beta [EC:1.14.12.3 1.14.12.11 1.14.12.26]		M00547+
K16269	todD, tcbB	cis-1,2-dihydrobenzene-1,2-diol/chlorobenzene dihydrodiol dehydrogenase [EC:1.3.1.19 1.3.1.119]		M00547
K16270	todE	3-methylcatechol 2,3-dioxygenase [EC:1.13.11.-]		
K16271	RLIM, RNF12	E3 ubiquitin-protein ligase RLIM [EC:2.3.2.27]		
K16272	RNF135	E3 ubiquitin-protein ligase RNF135 [EC:2.3.2.27]		
K16273	ZNRF3	E3 ubiquitin-protein ligase ZNRF3 [EC:2.3.2.27]		
K16274	AIP2	E3 ubiquitin-protein ligase AIP2 [EC:2.3.2.27]		
K16275	BAH, NLA	E3 ubiquitin-protein ligase BAH [EC:2.3.2.27]		
K16276	K16276, BTS	zinc finger protein-like protein		
K16277	DRIP	E3 ubiquitin-protein ligase DRIP [EC:2.3.2.27]		
K16278	HOS1	E3 ubiquitin-protein ligase HOS1 [EC:2.3.2.27]		
K16279	KEG	E3 ubiquitin-protein ligase KEG [EC:2.7.11.1 2.3.2.27]		
K16280	RGLG	E3 ubiquitin-protein ligase RGLG [EC:2.3.2.27]		
K16281	RHA1	RING-H2 zinc finger protein RHA1		
K16282	RHA2	E3 ubiquitin-protein ligase RHA2 [EC:2.3.2.27]		
K16283	SDIR1	E3 ubiquitin-protein ligase SDIR1 [EC:2.3.2.27]		
K16284	SIS3	E3 ubiquitin-protein ligase SIS3 [EC:2.3.2.27]		
K16285	XERICO	RING/U-box domain-containing protein [EC:2.3.2.27]		
K16286	EL5	E3 ubiquitin-protein ligase EL5 [EC:2.3.2.27]		
K16287	ULP1C_D	ubiquitin-like-specific protease 1C/D [EC:3.4.22.68]		
K16288	DSTYK, RIPK5	dual serine/threonine and tyrosine protein kinase [EC:2.7.12.1]		
K16289	ANKK1	ankyrin repeat and protein kinase domain-containing protein 1 [EC:2.7.11.1]		
K16290	XCP	xylem cysteine proteinase [EC:3.4.22.-]	ko01002:Cysteine peptidases > Family C1: papain family	
K16292	CEP, CYSEP	KDEL-tailed cysteine endopeptidase [EC:3.4.22.-]	ko01002:Cysteine peptidases > Family C1: papain family	
K16293	psrB	polysulfide reductase chain B	ko02000:Other transporters > Transmembrane electron carriers [TC:5]	
K16294	psrC	polysulfide reductase chain C	ko02000:Other transporters > Transmembrane electron carriers [TC:5]	
K16295	CYB561A3, CYBASC3	lysosomal membrane ascorbate-dependent ferrireductase [EC:7.2.1.3]	ko02000:Other transporters > Transmembrane electron carriers [TC:5]	
K16296	SCPL-I	serine carboxypeptidase-like clade I [EC:3.4.16.-]	ko01002:Serine peptidases > Family S10	
K16297	SCPL-II	serine carboxypeptidase-like clade II [EC:3.4.16.-]	ko01002:Serine peptidases > Family S10	
K16298	SCPL-IV	serine carboxypeptidase-like clade IV [EC:3.4.16.-]	ko01002:Serine peptidases > Family S10	
K16301	efeB	deferrochelatase/peroxidase EfeB [EC:1.11.1.-]	ko02000:Other transporters > Electrochemical potential-driven transporters [TC:2]	
K16302	CNNM	metal transporter CNNM	ko02000:Other transporters > Pores ion channels [TC:1]	
K16303	cmtAc	p-cumate 2,3-dioxygenase subunit beta [EC:1.14.12.25]		M00539+
K16304	cmtAd	p-cumate 2,3-dioxygenase ferredoxin component		M00539+
K16305	K16305	fructose-bisphosphate aldolase / 6-deoxy-5-ketofructose 1-phosphate synthase [EC:4.1.2.13 2.2.1.11]		M00001
K16306	K16306	fructose-bisphosphate aldolase / 2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase [EC:4.1.2.13 2.2.1.10]		M00001
K16307	CDC42BP	serine/threonine-protein kinase MRCK [EC:2.7.11.1]		
K16308	CIT	citron Rho-interacting kinase [EC:2.7.11.35]		
K16309	MASTL, GW	serine/threonine-protein kinase greatwall [EC:2.7.11.36]		
K16310	NIM1	serine/threonine-protein kinase NIM1 [EC:2.7.11.1]		
K16311	SIK2	serine/threonine-protein kinase SIK2 [EC:2.7.11.1]		
K16312	STK40, SHIK	serine/threonine-protein kinase 40 [EC:2.7.11.1]		
K16313	NRK	Nik-related protein kinase [EC:2.7.11.1]		
K16314	ELM1	serine/threonine-protein kinase ELM1 [EC:2.7.11.1]		
K16315	GSG2	serine/threonine-protein kinase haspin [EC:2.7.11.1]		
K16316	STK31, TDRD8	serine/threonine-protein kinase 31 [EC:2.7.11.1]		
K16317	trmY	tRNA (pseudouridine54-N1)-methyltransferase [EC:2.1.1.257]	ko03016:Prokaryotic type > tRNA modification factors > Methyltransferases	
K16318	trm14	tRNA (guanine6-N2)-methyltransferase [EC:2.1.1.256]	ko03016:Prokaryotic type > tRNA modification factors > Methyltransferases	
K16319	andAc	anthranilate 1,2-dioxygenase large subunit [EC:1.14.12.1]		M00637+
K16320	andAd	anthranilate 1,2-dioxygenase small subunit [EC:1.14.12.1]		M00637+
K16321	gntP	high-affinity gluconate transporter	ko02000:Other transporters > Electrochemical potential-driven transporters [TC:2]	
K16322	pit	low-affinity inorganic phosphate transporter	ko02000:Other transporters > Electrochemical potential-driven transporters [TC:2]	
K16323	yxjA, nupG	purine nucleoside transport protein	ko02000:Other transporters > Electrochemical potential-driven transporters [TC:2]	
K16324	psuT	putative pseudouridine transporter	ko02000:Other transporters > Electrochemical potential-driven transporters [TC:2]	
K16325	nupX	nucleoside permease	ko02000:Other transporters > Electrochemical potential-driven transporters [TC:2]	
K16326	yeiL	CRP/FNR family transcriptional regulator, putaive post-exponential-phase nitrogen-starvation regulator	ko03000:Prokaryotic type > Helix-turn-helix > CRP/FNR family	
K16327	K16327	putative LysE/RhtB family amino acid efflux pump	ko02000:Other transporters > Electrochemical potential-driven transporters [TC:2]	
K16328	psuK	pseudouridine kinase [EC:2.7.1.83]		
K16329	psuG	pseudouridylate synthase [EC:4.2.1.70]		
K16330	K16330	pseudouridylate synthase / pseudouridine kinase [EC:4.2.1.70 2.7.1.83]		
K16331	ylnA, cysP	sulfate permease	ko02000:Other transporters > Electrochemical potential-driven transporters [TC:2]	
K16332	RBL2	retinoblastoma-like protein 2	ko03000:Eukaryotic type > Other transcription factors > Pocket domain Rb	
K16339	THEM4, CTMP	acyl-coenzyme A thioesterase THEM4 [EC:3.1.2.2]		
K16340	PHLPP	PH domain and leucine-rich repeat-containing protein phosphatase [EC:3.1.3.16]		
K16342	PLA2G4, CPLA2	cytosolic phospholipase A2 [EC:3.1.1.4]		
K16343	PLA2G6, IPLA2	calcium-independent phospholipase A2 [EC:3.1.1.4]		
K16345	xanP	xanthine permease XanP	ko02000:Other transporters > Electrochemical potential-driven transporters [TC:2]	
K16346	xanQ	xanthine permease XanQ	ko02000:Other transporters > Electrochemical potential-driven transporters [TC:2]	
K16362	FLRT	leucine-rich repeat transmembrane protein FLRT		
K16363	lpxC-fabZ	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase / 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:3.5.1.108 4.2.1.59]	ko01005:Lipid A	M00083,M00866
K16365	SGTA	small glutamine-rich tetratricopeptide repeat-containing protein alpha	ko03110:Other chaperones and cochaperones > Others	
K16368	DGK1	diacylglycerol kinase (CTP) [EC:2.7.1.174]		
K16369	CHO2	phosphatidylethanolamine N-methyltransferase [EC:2.1.1.17]		M00091
K16370	pfkB	6-phosphofructokinase 2 [EC:2.7.1.11]		M00001,M00345
K16372	nidA1	niddamycin polyketide synthase 1		
K16373	nidA3	niddamycin polyketide synthase 3		
K16374	nidA4_5	niddamycin polyketide synthase 4/5		
K16375	fkbB	polyketide synthase FkbB		
K16376	fkbC	polyketide synthase FkbC		
K16377	fkbA	polyketide synthase FkbA		
K16381	fkbM	31-O-methyltransferase		
K16382	amphA, nysA	polyene macrolide polyketide synthase, loading module		
K16383	amphB, nysB	polyene macrolide polyketide synthase, A-type KR domains		
K16384	amphC, nysC	polyene macrolide polyketide synthase		
K16385	amphI, nysI	polyene macrolide polyketide synthase, KS-AT-KR-ACP domains		
K16386	amphJ, nysJ	polyene macrolide polyketide synthase		
K16387	amphK, nysK	polyene macrolide polyketide synthase		
K16388	amphDI, nysDI, fscMI, pimK	polyene glycosyltransferase		
K16389	amphN, nysN, fscP, pimG	cytochrome P450 monooxygenase		
K16390	amphL, nysL, pimD	cytochrome P450 monooxygenase		
K16391	pimS0	pimaricinolide synthase, loading module		
K16392	fscA	candicidin polyketide synthase FscA		
K16393	fscB	candicidin polyketide synthase FscB		
K16394	epoA	epothilone polyketide synthase A		
K16395	epoB	epothilone synthetase B		
K16396	epoC	epothilone polyketide synthase C		
K16397	epoD	epothilone polyketide synthase D		
K16398	epoE	epothilone polyketide synthase E		
K16399	epoF	epothilone polyketide synthase F		
K16401	sorA	soraphen polyketide synthase A		
K16402	sorB	soraphen polyketide synthase B		
K16403	sorM	O-methyltransferase		
K16404	sorR	reductase		
K16405	stiA	stigmatellin polyketide synthase StiA		
K16406	stiB	stigmatellin polyketide synthase StiB		
K16407	stiC	stigmatellin polyketide synthase StiC		
K16408	stiD	stigmatellin polyketide synthase StiD		
K16409	stiE	stigmatellin polyketide synthase StiE		
K16410	stiF	stigmatellin polyketide synthase StiF		
K16411	stiG	stigmatellin polyketide synthase StiG		
K16412	stiH	stigmatellin polyketide synthase StiH		
K16413	stiJ	stigmatellin polyketide synthase StiJ		
K16414	stiK	methyltransferase		
K16415	stiL	cytochrome P450 dependent monooxygenase		
K16416	mxaA	myxalamid-type nonribosomal peptide synthetase MxaA		
K16417	mxaC	myxalamid-type polyketide synthase MxaC		
K16418	mlsA1	mycolactone core lactone polyketide synthase MlsA1		
K16419	mlsB	mycolactone side chain polyketide synthase		
K16420	rapA_B_C	rapamycin polyketide synthase A/B/C		
K16421	hmaS, nocF	4-hydroxymandelate synthase [EC:1.13.11.46]		
K16422	hmo, nocN	4-hydroxymandelate oxidase [EC:1.1.3.46]		
K16423	hpgT, nocG	(S)-3,5-dihydroxyphenylglycine transaminase [EC:2.6.1.103]		
K16424	dpgA	3,5-dihydroxyphenylacetyl-CoA synthase [EC:2.3.1.246]		
K16425	dpgB	isomerase DpgB		
K16427	dpgC	(3,5-dihydroxyphenyl)acetyl-CoA 1,2-dioxygenase [EC:1.13.11.80]		
K16428	cepA	nonribosomal peptide synthetase CepA		
K16429	cepB	nonribosomal peptide synthetase CepB		
K16430	cepC	nonribosomal peptide synthetase CepC		
K16431	cepH, sgcC3, mdpC3, kedY3	FAD-dependent halogenase [EC:1.14.19.-]		M00827,M00832
K16432	cepK	nonribosomal peptide synthetase CepK		
K16435	evaA, eryBVI, tylCVI, tylX3, staJ	dTDP-4-dehydro-6-deoxy-alpha-D-glucopyranose 2,3-dehydratase [EC:4.2.1.159]		M00798,M00799,M00800,M00801,M00802,M00803
K16436	evaB, megDII, angB, staI	dTDP-3-amino-2,3,6-trideoxy-4-keto-D-glucose/dTDP-3-amino-3,4,6-trideoxy-alpha-D-glucose/dTDP-2,6-dideoxy-D-kanosamine transaminase [EC:2.6.1.- 2.6.1.106]		M00797,M00800,M00803
K16438	evaD, eryBVII, aveBV, megDIV, staE	5-epimerase [EC:5.1.3.-]		M00798,M00799,M00800
K16439	evaE	reductase EvaE		
K16440	gtfA	chloroorienticin B synthase [EC:2.4.1.311]		
K16442	gtfC	glycosyltransferase GtfC		
K16443	gtfD	desvancosaminyl-vancomycin vancosaminetransferase [EC:2.4.1.322]		
K16444	gtfB, gtfE	vancomycin aglycone glucosyltransferase [EC:2.4.1.310]		
K16450	mlsA2	mycolactone core lactone polyketide synthase MlsA2		
K16470	DZIP1	zinc finger protein DZIP1		
K16492	TSKS	testis-specific serine kinase substrate		
K16510	RPS6KA4, MSK2	ribosomal protein S6 kinase alpha-4 [EC:2.7.11.1]		
K16512	RPGRIP1	X-linked retinitis pigmentosa GTPase regulator-interacting protein 1		
K16513	NOS1AP, CAPON	carboxyl-terminal PDZ ligand of neuronal nitric oxide synthase protein		
K16514	galD	4-oxalomesaconate tautomerase [EC:5.3.2.8]		
K16515	galB	4-oxalomesaconate hydratase [EC:4.2.1.83]		
K16516	galR	LysR family transcriptional regulator, regulator for genes of the gallate degradation pathway	ko03000:Prokaryotic type > Helix-turn-helix > LysR family	
K16517	galP	porin-like protein GalP	ko02000:Other transporters > Pores ion channels [TC:1]	
K16518	AKAP1	A-kinase anchor protein 1, mitochondrial		
K16519	PALM2AKAP2	paralemmin-2 and/or A-kinase anchor protein-2		
K16520	AKAP3	A-kinase anchor protein 3		
K16521	AKAP4	A-kinase anchor protein 4		
K16522	AKAP5	A-kinase anchor protein 5		
K16523	AKAP6	A-kinase anchor protein 6		
K16524	AKAP7	A-kinase anchor protein 7		
K16525	AKAP8	A-kinase anchor protein 8		
K16526	AKAP10	A-kinase anchor protein 10		
K16527	AKAP11	A-kinase anchor protein 11		
K16528	AKAP12	A-kinase anchor protein 12		
K16529	ARHGEF13	A-kinase anchor protein 13		
K16530	AKAP14	A-kinase anchor protein 14		
K16545	DDHD2	phospholipase DDHD2 [EC:3.1.1.-]		
K16548	OAZ1	ornithine decarboxylase antizyme 1		
K16551	AKAP9, AKAP350	A-kinase anchor protein 9		
K16552	exoF	polysaccharide biosynthesis/export protein ExoF	ko02000:Other transporters > Pores ion channels [TC:1]	
K16553	exoT	succinoglycan exporter	ko02000:Other transporters > Electrochemical potential-driven transporters [TC:2]	
K16554	exoP, vpsO	polysaccharide biosynthesis transport protein [EC:2.7.10.3]	ko02000:Other transporters > Accessory factors involved in transport [TC:8]	
K16555	exoO	succinoglycan biosynthesis protein ExoO [EC:2.4.-.-]	ko01003:Polysaccharide > Bacterial polysaccharide (excluding LPS)	
K16556	exoM	succinoglycan biosynthesis protein ExoM [EC:2.4.-.-]	ko01003:Polysaccharide > Bacterial polysaccharide (excluding LPS)	
K16557	exoA	succinoglycan biosynthesis protein ExoA [EC:2.4.-.-]	ko01003:Polysaccharide > Bacterial polysaccharide (excluding LPS)	
K16558	exoL	succinoglycan biosynthesis protein ExoL [EC:2.-.-.-]	ko01003:Polysaccharide > Bacterial polysaccharide (excluding LPS)	
K16559	exoK	endo-1,3-1,4-beta-glycanase ExoK [EC:3.2.1.-]		
K16560	exoH	succinoglycan biosynthesis protein ExoH		
K16561	exoI	succinoglycan biosynthesis protein ExoI		
K16562	exoW	succinoglycan biosynthesis protein ExoW [EC:2.4.-.-]	ko01003:Polysaccharide > Bacterial polysaccharide (excluding LPS)	
K16563	exoV	succinoglycan biosynthesis protein ExoV		
K16564	exoU	succinoglycan biosynthesis protein ExoU [EC:2.4.-.-]	ko01003:Polysaccharide > Bacterial polysaccharide (excluding LPS)	
K16582	TTLL6_13	tubulin polyglutamylase TTLL6/13 [EC:6.3.2.61]		
K16583	TTLL7	tubulin polyglutamylase TTLL7 [EC:6.3.2.62]		
K16593	bioI, CYP107H	pimeloyl-[acyl-carrier protein] synthase [EC:1.14.14.46]		M00573
K16599	TTLL1	tubulin polyglutamylase TTLL1 [EC:6.3.2.61]		
K16600	TTLL2	tubulin polyglutamylase TTLL2 [EC:6.3.2.-]		
K16601	TTLL4	tubulin polyglutamylase TTLL4 [EC:6.3.2.62]		
K16602	TTLL5	tubulin polyglutamylase TTLL5 [EC:6.3.2.61]		
K16603	TTLL9	tubulin polyglutamylase TTLL9 [EC:6.3.2.61]		
K16604	TTLL11	tubulin polyglutamylase TTLL11 [EC:6.3.2.-]		
K16608	TTLL3_8	tubulin monoglycylase TTLL3/8 [EC:6.3.2.-]		
K16610	TTLL15	tubulin polyglutamylase TTLL15 [EC:6.3.2.-]		
K16613	OAZ2	ornithine decarboxylase antizyme 2		
K16614	OAZ3	ornithine decarboxylase antizyme 3		
K16618	POLN	DNA polymerase nu [EC:2.7.7.7]	ko03400:Eukaryotic type > TLS (translesion DNA synthesis) factors > A-family DNA polymerase	
K16619	plc, cpa	phospholipase C / alpha-toxin [EC:3.1.4.3]		
K16626	ha-70	hemagglutinin components HA-22/23/53	ko02000:Other transporters > Pores ion channels [TC:1]	
K16627	SOD3	superoxide dismutase, Cu-Zn family [EC:1.15.1.1]		
K16631	ANG, RNASE5	angiogenin [EC:3.1.27.-]	ko03016:Eukaryotic type > tRNA degradation factors > Other tRNA degradation factors	
K16632	RNASE4	ribonuclease 4 [EC:3.1.27.-]		
K16633	RNASE11	ribonuclease 11 [EC:3.1.27.-]		
K16639	LACTB2	endoribonuclease LACTB2 [EC:3.1.27.-]		
K16640	ssh7	DNA-binding protein 7 [EC:3.1.27.-]		
K16647	aftC	arabinofuranan 3-O-arabinosyltransferase [EC:2.4.2.47]	ko01003:Polysaccharide > Bacterial polysaccharide (excluding LPS)	
K16648	aftD	arabinofuranan 3-O-arabinosyltransferase [EC:2.4.2.-]	ko01003:Polysaccharide > Bacterial polysaccharide (excluding LPS)	
K16649	glft1	rhamnopyranosyl-N-acetylglucosaminyl-diphospho-decaprenol beta-1,3/1,4-galactofuranosyltransferase [EC:2.4.1.287]	ko01003:Polysaccharide > Bacterial polysaccharide (excluding LPS)	M00888
K16650	glft2	galactofuranosylgalactofuranosylrhamnosyl-N-acetylglucosaminyl-diphospho-decaprenol beta-1,5/1,6-galactofuranosyltransferase [EC:2.4.1.288]	ko01003:Polysaccharide > Bacterial polysaccharide (excluding LPS)	M00888
K16651	pduX	L-threonine kinase [EC:2.7.1.177]		
K16652	dprE2	decaprenylphospho-beta-D-erythro-pentofuranosid-2-ulose 2-reductase [EC:1.1.1.333]		
