# Generated by scripts/build_kegg_predicate_map.py; edit the proposals or rules, not this file.
# KEGG: KEGG REST retrieved 2026-09-24; ko_list.tsv sha256 bf37ae22839f8805 (28564 KOs); modules.txt sha256 b9b2b815ef61c8eb (574 modules); ko_list sha256 05f9267a37f1cec8 (75 KOfam KOs absent from KEGG REST)
# Swiss-Prot: uniprot_sprot.dat.gz 2026_03 sha256 c87208822a56e8ae (428,778 reviewed proteins linked to KOs); KEGG gene links swissprot_kegg_ko.tsv sha256 20ab0dd3b910cb82; go-basic.obo sha256 b08d45b268b8c24c
# ko	predicates	evidence
K11150	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.-;nad_binding=ec:1.1.1.-;oxidoreductase=ec:1.1.1.-
K11151	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.-;nad_binding=ec:1.1.1.-;oxidoreductase=ec:1.1.1.-
K11152	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.300;nad_binding=ec:1.1.1.300;oxidoreductase=ec:1.1.1.300
K11153	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.300;nad_binding=ec:1.1.1.300;oxidoreductase=ec:1.1.1.300
K11154	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.-;nad_binding=ec:1.1.1.-;oxidoreductase=ec:1.1.1.-
K11155	enzyme,transferase	enzyme=swissprot:8/9;transferase=ec:2.3.1.20
K11156	transferase	transferase=ec:2.3.1.75
K11157	esterase,hydrolase	esterase=ec:3.1.1.-;hydrolase=ec:3.1.1.-
K11158	carbohydrate_esterase,enzyme,esterase,hydrolase,isomerase	carbohydrate_esterase=swissprot:7/8;enzyme=swissprot:7/8;esterase=ec:3.1.1.64;hydrolase=ec:3.1.1.64;isomerase=ec:5.3.3.22
K11159	dioxygenase,oxidoreductase,oxygenase	dioxygenase=ec:1.13.11.-;oxidoreductase=ec:1.13.11.-;oxygenase=ec:1.13.11.-
K11160	transferase	transferase=ec:2.3.1.20
K11161	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.300;nad_binding=ec:1.1.1.300;oxidoreductase=ec:1.1.1.300
K11162	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.-;nad_binding=ec:1.1.1.-;oxidoreductase=ec:1.1.1.-
K11163	dehydrogenase,oxidoreductase,reductase	dehydrogenase=text:dehydrogenase;oxidoreductase=ec:1.1.-.-;reductase=text:reductase
K11164	dehydrogenase,oxidoreductase,reductase	dehydrogenase=text:dehydrogenase;oxidoreductase=ec:1.1.-.-;reductase=text:reductase
K11165	dehydrogenase,oxidoreductase,reductase	dehydrogenase=text:dehydrogenase;oxidoreductase=ec:1.1.-.-;reductase=text:reductase
K11166	dehydrogenase,oxidoreductase,reductase	dehydrogenase=text:dehydrogenase;oxidoreductase=ec:1.1.-.-;reductase=text:reductase
K11167	dehydrogenase,nad_binding,oxidoreductase,reductase	dehydrogenase=ec:1.1.1.105;nad_binding=ec:1.1.1.105;oxidoreductase=ec:1.1.1.105;reductase=text:reductase
K11168	dehydrogenase,oxidoreductase,reductase	dehydrogenase=text:dehydrogenase;oxidoreductase=ec:1.1.-.-;reductase=text:reductase
K11169	dehydrogenase,oxidoreductase,reductase	dehydrogenase=text:dehydrogenase;oxidoreductase=ec:1.1.-.-;reductase=text:reductase
K11170	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.441;nad_binding=ec:1.1.1.441;oxidoreductase=ec:1.1.1.441
K11171	transferase	transferase=ec:2.3.1.75
K11172	transferase	transferase=ec:2.3.1.-
K11173	oxidoreductase	oxidoreductase=ec:1.1.99.24
K11175	transferase	transferase=ec:2.1.2.2
K11176	hydrolase	hydrolase=ec:3.5.4.10
K11177	complex_subunit,dehydrogenase,nad_binding,oxidoreductase	complex_subunit=module:M00546;dehydrogenase=text:dehydrogenase;nad_binding=ec:1.17.1.4;oxidoreductase=ec:1.17.1.4
K11178	complex_subunit,dehydrogenase,fad_binding,nad_binding,oxidoreductase	complex_subunit=module:M00546;dehydrogenase=text:dehydrogenase;fad_binding=text:FAD;nad_binding=ec:1.17.1.4;oxidoreductase=ec:1.17.1.4
K11179	sulfurtransferase,transferase,trna_modification	sulfurtransferase=ec:2.8.1.-;transferase=ec:2.8.1.-;trna_modification=brite:ko03016 Prokaryotic type > tRNA modification factors > Thiolation factors
K11180	complex_subunit,nad_binding,oxidoreductase,reductase,sulfate_reduction,sulfur_metabolism	complex_subunit=module:M00596;nad_binding=ec:1.8.1.22;oxidoreductase=ec:1.8.1.22;reductase=text:reductase;sulfate_reduction=text:dissimilatory;sulfur_metabolism=ec:1.8.1.22
K11181	complex_subunit,nad_binding,oxidoreductase,reductase,sulfate_reduction,sulfur_metabolism	complex_subunit=module:M00596;nad_binding=ec:1.8.1.22;oxidoreductase=ec:1.8.1.22;reductase=text:reductase;sulfate_reduction=text:dissimilatory;sulfur_metabolism=ec:1.8.1.22
K11182	oxidase,oxidoreductase	oxidase=text:oxidase;oxidoreductase=ec:1.4.3.22
K11183	atp_binding,kinase,transferase	atp_binding=ec:2.7.1.202;kinase=ec:2.7.1.202;transferase=ec:2.7.1.202
K11185	oxidative_stress,oxidoreductase,peroxidase	oxidative_stress=text:peroxid;oxidoreductase=ec:1.11.1.-;peroxidase=ec:1.11.1.-
K11186	oxidative_stress,oxidoreductase,peroxidase	oxidative_stress=text:peroxid;oxidoreductase=ec:1.11.1.-;peroxidase=ec:1.11.1.-
K11187	oxidative_stress,oxidoreductase,peroxidase	oxidative_stress=text:peroxiredoxin;oxidoreductase=ec:1.11.1.24;peroxidase=ec:1.11.1.24
K11188	esterase,hydrolase,oxidative_stress,oxidoreductase,peroxidase	esterase=ec:3.1.1.-;hydrolase=ec:3.1.1.-;oxidative_stress=text:peroxiredoxin;oxidoreductase=ec:1.11.1.7;peroxidase=ec:1.11.1.7
K11192	atp_binding,kinase,sugar_transporter,transferase,transporter	atp_binding=ec:2.7.1.192;kinase=ec:2.7.1.192;sugar_transporter=brite:ko02000 Phosphotransferase system (PTS) > Enzyme II [TC:4.A] > N-Acetylmuramic acid-specific II component;transferase=ec:2.7.1.192;transporter=brite:ko02000 Phosphotransferase system (PTS) > Enzyme II [TC:4.A] > N-Acetylmuramic acid-specific II component
K11194	atp_binding,kinase,sugar_transporter,transferase,transporter	atp_binding=ec:2.7.1.202;kinase=ec:2.7.1.202;sugar_transporter=brite:ko02000 Phosphotransferase system (PTS) > Enzyme II [TC:4.A] > Fructose-specific II component;transferase=ec:2.7.1.202;transporter=brite:ko02000 Phosphotransferase system (PTS) > Enzyme II [TC:4.A] > Fructose-specific II component
K11195	atp_binding,kinase,sugar_transporter,transferase,transporter	atp_binding=ec:2.7.1.202;kinase=ec:2.7.1.202;sugar_transporter=brite:ko02000 Phosphotransferase system (PTS) > Enzyme II [TC:4.A] > Fructose-specific II component;transferase=ec:2.7.1.202;transporter=brite:ko02000 Phosphotransferase system (PTS) > Enzyme II [TC:4.A] > Fructose-specific II component
K11196	sugar_transporter,transporter	sugar_transporter=brite:ko02000 Phosphotransferase system (PTS) > Enzyme II [TC:4.A] > Fructose-specific II component;transporter=brite:ko02000 Phosphotransferase system (PTS) > Enzyme II [TC:4.A] > Fructose-specific II component
K11200	atp_binding,kinase,sugar_transporter,transferase,transporter	atp_binding=ec:2.7.1.195;kinase=ec:2.7.1.195;sugar_transporter=brite:ko02000 Phosphotransferase system (PTS) > Enzyme II [TC:4.A] > 2-O-A-Mannosyl-D-glycerate-specific II component;transferase=ec:2.7.1.195;transporter=brite:ko02000 Phosphotransferase system (PTS) > Enzyme II [TC:4.A] > 2-O-A-Mannosyl-D-glycerate-specific II component
K11201	atp_binding,kinase,sugar_transporter,transferase,transporter	atp_binding=ec:2.7.1.-;kinase=ec:2.7.1.-;sugar_transporter=brite:ko02000 Phosphotransferase system (PTS) > Enzyme II [TC:4.A] > Fructose-specific II-like component;transferase=ec:2.7.1.-;transporter=brite:ko02000 Phosphotransferase system (PTS) > Enzyme II [TC:4.A] > Fructose-specific II-like component
K11202	atp_binding,kinase,sugar_transporter,transferase,transporter	atp_binding=ec:2.7.1.-;kinase=ec:2.7.1.-;sugar_transporter=brite:ko02000 Phosphotransferase system (PTS) > Enzyme II [TC:4.A] > Fructose-specific II-like component;transferase=ec:2.7.1.-;transporter=brite:ko02000 Phosphotransferase system (PTS) > Enzyme II [TC:4.A] > Fructose-specific II-like component
K11203	sugar_transporter,transporter	sugar_transporter=brite:ko02000 Phosphotransferase system (PTS) > Enzyme II [TC:4.A] > Fructose-specific II-like component;transporter=brite:ko02000 Phosphotransferase system (PTS) > Enzyme II [TC:4.A] > Fructose-specific II-like component
K11204	biosynthesis,complex_subunit,ligase,nrps,sulfur_assimilation,sulfur_metabolism,synthetase	biosynthesis=swissprot:8/9;complex_subunit=module:M00118;ligase=ec:6.3.2.2;nrps=swissprot:8/9;sulfur_assimilation=swissprot:8/9;sulfur_metabolism=swissprot:8/9;synthetase=ec:6.3.2.2
K11205	complex_subunit,ligase	complex_subunit=module:M00118;ligase=text:ligase
K11206	amidase,hydrolase	amidase=ec:3.5.1.128;hydrolase=ec:3.5.1.128
K11207	oxidoreductase,peroxidase	oxidoreductase=ec:1.11.1.-;peroxidase=ec:1.11.1.-
K11209	oxidoreductase,sulfur_metabolism	oxidoreductase=ec:1.8.4.-;sulfur_metabolism=ec:1.8.4.-
K11210	transferase	transferase=ec:2.5.1.-
K11211	atp_binding,kinase,lipid_a_biosynthesis,lps_biosynthesis,transferase	atp_binding=ec:2.7.1.166;kinase=ec:2.7.1.166;lipid_a_biosynthesis=brite:ko01005 Lipid A;lps_biosynthesis=brite:ko01005 Lipid A;transferase=ec:2.7.1.166
K11212	transferase	transferase=ec:2.7.8.28
K11214	atp_binding,kinase,transferase	atp_binding=ec:2.7.1.14;kinase=ec:2.7.1.14;transferase=ec:2.7.1.14
K11215	dna_binding,transcription,transcription_factor	dna_binding=text:transcription factor;transcription=text:transcription;transcription_factor=brite:ko03000 Eukaryotic type > Other transcription factors > Others
K11216	atp_binding,kinase,transferase	atp_binding=ec:2.7.1.189;kinase=ec:2.7.1.189;transferase=ec:2.7.1.189
K11217	atp_binding,kinase,transferase	atp_binding=ec:2.7.10.2;kinase=ec:2.7.10.2;transferase=ec:2.7.10.2
K11218	atp_binding,kinase,transferase	atp_binding=ec:2.7.10.2;kinase=ec:2.7.10.2;transferase=ec:2.7.10.2
K11219	atp_binding,kinase,transferase	atp_binding=ec:2.7.10.2;kinase=ec:2.7.10.2;transferase=ec:2.7.10.2
K11220	transcription_factor	transcription_factor=brite:ko03000 Eukaryotic type > beta-Scaffold factors with minor groove contacts > STAT
K11221	transcription_factor	transcription_factor=brite:ko03000 Eukaryotic type > beta-Scaffold factors with minor groove contacts > STAT
K11222	transcription_factor	transcription_factor=brite:ko03000 Eukaryotic type > beta-Scaffold factors with minor groove contacts > STAT
K11223	transcription_factor	transcription_factor=brite:ko03000 Eukaryotic type > beta-Scaffold factors with minor groove contacts > STAT
K11224	transcription_factor	transcription_factor=brite:ko03000 Eukaryotic type > beta-Scaffold factors with minor groove contacts > STAT
K11225	transcription_factor	transcription_factor=brite:ko03000 Eukaryotic type > beta-Scaffold factors with minor groove contacts > STAT
K11226	kinase,transferase	kinase=ec:2.7.12.2;transferase=ec:2.7.12.2
K11227	kinase,transferase	kinase=ec:2.7.12.2;transferase=ec:2.7.12.2
K11228	kinase,serine_threonine_kinase,transferase	kinase=ec:2.7.11.25;serine_threonine_kinase=ec:2.7.11.25;transferase=ec:2.7.11.25
K11229	kinase,serine_threonine_kinase,transferase	kinase=ec:2.7.11.25;serine_threonine_kinase=ec:2.7.11.25;transferase=ec:2.7.11.25
K11230	kinase,serine_threonine_kinase,transferase	kinase=ec:2.7.11.25;serine_threonine_kinase=ec:2.7.11.25;transferase=ec:2.7.11.25
K11231	kinase,sensor_kinase,transferase,two_component	kinase=text:kinase;sensor_kinase=ec:2.7.13.3;transferase=ec:2.7.13.3;two_component=ec:2.7.13.3
K11232	two_component	two_component=brite:ko02022 Other families > SLN1-YPD1-SSK1/SKN7 (osmosensing)
K11233	response_regulator,two_component	response_regulator=brite:ko02022 Other families > SLN1-YPD1-SSK1/SKN7 (osmosensing);two_component=brite:ko02022 Other families > SLN1-YPD1-SSK1/SKN7 (osmosensing)
K11240	hydrolase,phosphatase	hydrolase=ec:3.1.3.48;phosphatase=ec:3.1.3.48
K11249	efflux_pump,transporter	efflux_pump=text:efflux;transporter=brite:ko02000 Other transporters > Electrochemical potential-driven transporters [TC:2]
K11250	efflux_pump,transporter	efflux_pump=text:efflux;transporter=brite:ko02000 Other transporters > Electrochemical potential-driven transporters [TC:2]
K11256	transferase	transferase=ec:2.3.1.48
K11257	carbohydrate_active,glycosyltransferase,transferase	carbohydrate_active=brite:ko01003 O-Glycan biosynthesis > O-linked Fuc type;glycosyltransferase=ec:2.4.1.221;transferase=ec:2.4.1.221
K11258	complex_subunit,synthase,transferase	complex_subunit=module:M00019;synthase=text:synthase;transferase=ec:2.2.1.6
K11259	lyase	lyase=ec:4.1.2.-
K11260	complex_subunit,electron_transport,iron_sulfur	complex_subunit=module:M00567;electron_transport=text:4Fe-4S;iron_sulfur=text:4Fe-4S
K11261	complex_subunit,dehydrogenase,oxidoreductase	complex_subunit=module:M00567;dehydrogenase=text:dehydrogenase;oxidoreductase=ec:1.2.7.12
K11262	biotin_binding,carboxylase,fatty_acid_synthesis,ligase,synthetase,transferase	biotin_binding=ec:6.4.1.2;carboxylase=ec:6.4.1.2;fatty_acid_synthesis=module:M00082;ligase=ec:6.4.1.2;synthetase=ec:6.3.4.14;transferase=ec:2.1.3.15
K11263	biotin_binding,carboxylase,complex_subunit,fatty_acid_synthesis,ligase,synthetase	biotin_binding=ec:6.4.1.2;carboxylase=ec:6.4.1.2;complex_subunit=module:M00082;fatty_acid_synthesis=module:M00082;ligase=ec:6.4.1.2;synthetase=ec:6.3.4.14
K11264	decarboxylase,lyase	decarboxylase=ec:4.1.1.-;lyase=ec:4.1.1.-
K11265	lyase	lyase=ec:4.6.1.1
K11267	dna_repair,recombinational_repair	dna_repair=brite:ko03400 Eukaryotic type > DSBR (double strand breaks repair) > HR (homologous recombination) > Shu complex and associated proteins;recombinational_repair=brite:ko03400 Eukaryotic type > DSBR (double strand breaks repair) > HR (homologous recombination) > Shu complex and associated proteins
K11268	acetyltransferase,transferase	acetyltransferase=text:acetyltransferase;transferase=ec:2.3.1.-
K11273	isomerase	isomerase=ec:5.6.2.7
K11292	transcription	transcription=brite:ko03021 Eukaryotic type > RNA polymerase II system > Other transcription-related factors > Transcription elongation factors
K11303	acetyltransferase,transferase	acetyltransferase=text:acetyltransferase;transferase=ec:2.3.1.48
K11304	acetyltransferase,transcription_factor,transferase,zinc_finger	acetyltransferase=text:acetyltransferase;transcription_factor=brite:ko03000 Eukaryotic type > Zinc finger > Cys2HisCys zinc factors;transferase=ec:2.3.1.48;zinc_finger=brite:ko03000 Eukaryotic type > Zinc finger > Cys2HisCys zinc factors
K11305	acetyltransferase,transcription_factor,transferase,zinc_finger	acetyltransferase=text:acetyltransferase;transcription_factor=brite:ko03000 Eukaryotic type > Zinc finger > Cys2HisCys zinc factors;transferase=ec:2.3.1.48;zinc_finger=brite:ko03000 Eukaryotic type > Zinc finger > Cys2HisCys zinc factors
K11306	acetyltransferase,transcription_factor,transferase,zinc_finger	acetyltransferase=text:acetyltransferase;transcription_factor=brite:ko03000 Eukaryotic type > Zinc finger > Cys2HisCys zinc factors;transferase=ec:2.3.1.48;zinc_finger=brite:ko03000 Eukaryotic type > Zinc finger > Cys2HisCys zinc factors
K11307	acetyltransferase,transcription_factor,transferase,zinc_finger	acetyltransferase=text:acetyltransferase;transcription_factor=brite:ko03000 Eukaryotic type > Zinc finger > Cys2HisCys zinc factors;transferase=ec:2.3.1.48;zinc_finger=brite:ko03000 Eukaryotic type > Zinc finger > Cys2HisCys zinc factors
K11308	acetyltransferase,transcription_factor,transferase,zinc_finger	acetyltransferase=text:acetyltransferase;transcription_factor=brite:ko03000 Eukaryotic type > Zinc finger > Cys2HisCys zinc factors;transferase=ec:2.3.1.48;zinc_finger=brite:ko03000 Eukaryotic type > Zinc finger > Cys2HisCys zinc factors
K11310	dna_binding,transcription,transferase	dna_binding=text:transcription factor;transcription=brite:ko03021 Eukaryotic type > RNA polymerase III system > Basal transcription factors > TFIIIC;transferase=ec:2.3.1.48
K11311	complex_subunit,dioxygenase,nad_binding,oxidoreductase,oxygenase,reductase	complex_subunit=module:M00637;dioxygenase=text:dioxygenase;nad_binding=ec:1.18.1.-;oxidoreductase=ec:1.18.1.-;oxygenase=text:oxygenase;reductase=text:reductase
K11313	transcription	transcription=brite:ko03021 Eukaryotic type > RNA polymerase II system > Coactivators > SAGA/TFTC/STAGA complex
K11314	transcription	transcription=brite:ko03021 Eukaryotic type > RNA polymerase II system > Coactivators > SAGA/TFTC/STAGA complex
K11315	transcription	transcription=brite:ko03021 Eukaryotic type > RNA polymerase II system > Coactivators > SAGA/TFTC/STAGA complex
K11316	transcription	transcription=brite:ko03021 Eukaryotic type > RNA polymerase II system > Coactivators > SAGA/TFTC/STAGA complex
K11317	transcription	transcription=brite:ko03021 Eukaryotic type > RNA polymerase II system > Coactivators > SAGA/TFTC/STAGA complex
K11318	transcription	transcription=brite:ko03021 Eukaryotic type > RNA polymerase II system > Coactivators > SAGA/TFTC/STAGA complex
K11320	isomerase	isomerase=ec:5.6.2.-
K11323	dioxygenase,oxidoreductase,oxygenase	dioxygenase=ec:1.14.11.-;oxidoreductase=ec:1.14.11.-;oxygenase=ec:1.14.11.-
K11324	methyltransferase,transferase	methyltransferase=text:methyltransferase;transferase=text:transferase
K11325	lyase	lyase=text:lyase
K11326	efflux_pump,transporter	efflux_pump=text:efflux;transporter=brite:ko02000 Other transporters > Electrochemical potential-driven transporters [TC:2]
K11327	efflux_pump,transporter	efflux_pump=text:efflux;transporter=text:efflux
K11328	kinase,sensor_kinase,transferase,two_component	kinase=text:kinase;sensor_kinase=ec:2.7.13.3;transferase=ec:2.7.13.3;two_component=ec:2.7.13.3
K11329	ompr_family,response_regulator,two_component	ompr_family=brite:ko02022 OmpR family > SasA-RpaAB (circadian timing mediating);response_regulator=brite:ko02022 OmpR family > SasA-RpaAB (circadian timing mediating);two_component=brite:ko02022 OmpR family > SasA-RpaAB (circadian timing mediating)
K11330	two_component	two_component=brite:ko02022 OmpR family > NrsS-NrsR (nickel tolerance)
K11331	carbohydrate_active,efflux_pump,glycosidase,hydrolase,transporter	carbohydrate_active=ec:3.2.1.17;efflux_pump=text:efflux;glycosidase=ec:3.2.1.17;hydrolase=ec:3.2.1.17;transporter=text:efflux
K11332	ompr_family,response_regulator,two_component	ompr_family=brite:ko02022 OmpR family > NblS-NblR (photosynthesis);response_regulator=brite:ko02022 OmpR family > NblS-NblR (photosynthesis);two_component=brite:ko02022 OmpR family > NblS-NblR (photosynthesis)
K11333	oxidoreductase,reductase	oxidoreductase=ec:1.3.7.14;reductase=text:reductase
K11334	oxidoreductase,reductase	oxidoreductase=ec:1.3.7.14;reductase=text:reductase
K11335	oxidoreductase,reductase	oxidoreductase=ec:1.3.7.14;reductase=text:reductase
K11336	dehydratase,lyase	dehydratase=ec:4.2.1.165;lyase=ec:4.2.1.165
K11337	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.396;nad_binding=ec:1.1.1.396;oxidoreductase=ec:1.1.1.396
K11338	atp_binding,atpase,hydrolase,isomerase	atp_binding=swissprot:25/25;atpase=swissprot:25/25;hydrolase=swissprot:25/25;isomerase=ec:5.6.2.3
K11339	dna_repair,recombinational_repair	dna_repair=brite:ko03400 Eukaryotic type > DSBR (double strand breaks repair) > HR (homologous recombination) > Other HR factors;recombinational_repair=brite:ko03400 Eukaryotic type > DSBR (double strand breaks repair) > HR (homologous recombination) > Other HR factors
K11340	transcription	transcription=brite:ko03021 Eukaryotic type > RNA polymerase II system > Coactivators > BAF/PBAF complex
K11351	complex_subunit,dehydrogenase,oxidoreductase	complex_subunit=module:M00147;dehydrogenase=text:dehydrogenase;oxidoreductase=text:dehydrogenase
K11352	complex_subunit,dehydrogenase,oxidoreductase	complex_subunit=module:M00146;dehydrogenase=text:dehydrogenase;oxidoreductase=text:dehydrogenase
K11353	complex_subunit,dehydrogenase,oxidoreductase	complex_subunit=module:M00146;dehydrogenase=text:dehydrogenase;oxidoreductase=text:dehydrogenase
K11354	kinase,sensor_kinase,transferase,two_component	kinase=text:kinase;sensor_kinase=ec:2.7.13.3;transferase=ec:2.7.13.3;two_component=ec:2.7.13.3
K11355	response_regulator,two_component	response_regulator=brite:ko02022 CheA family > Cph1-Rcp1 (light response);two_component=brite:ko02022 CheA family > Cph1-Rcp1 (light response)
K11356	kinase,response_regulator,sensor_kinase,transferase,two_component	kinase=text:kinase;response_regulator=brite:ko02022 Other families > CikA;sensor_kinase=ec:2.7.13.3;transferase=ec:2.7.13.3;two_component=ec:2.7.13.3
K11357	kinase,sensor_kinase,transferase,two_component	kinase=text:kinase;sensor_kinase=ec:2.7.13.3;transferase=ec:2.7.13.3;two_component=ec:2.7.13.3
K11358	aminotransferase,plp_binding,transferase	aminotransferase=ec:2.6.1.1;plp_binding=ec:2.6.1.1;transferase=ec:2.6.1.1
K11359	transcription	transcription=brite:ko03021 Eukaryotic type > RNA polymerase II system > Coactivators > SAGA/TFTC/STAGA complex
K11360	transcription	transcription=brite:ko03021 Eukaryotic type > RNA polymerase II system > Coactivators > SAGA/TFTC/STAGA complex
K11361	dna_binding,transcription	dna_binding=text:transcription factor;transcription=brite:ko03021 Eukaryotic type > RNA polymerase II system > Coactivators > SAGA/TFTC/STAGA complex
K11362	transcription	transcription=brite:ko03021 Eukaryotic type > RNA polymerase II system > Coactivators > SAGA/TFTC/STAGA complex
K11363	transcription	transcription=brite:ko03021 Eukaryotic type > RNA polymerase II system > Coactivators > SAGA/TFTC/STAGA complex
K11364	transcription	transcription=brite:ko03021 Eukaryotic type > RNA polymerase II system > Coactivators > SAGA/TFTC/STAGA complex
K11365	transcription	transcription=brite:ko03021 Eukaryotic type > RNA polymerase II system > Coactivators > SAGA/TFTC/STAGA complex
K11366	cysteine_protease,deubiquitinase,hydrolase,peptidase,protease,transcription	cysteine_protease=brite:ko01002 Cysteine peptidases > Family C19: ubiquitin-specific protease family;deubiquitinase=brite:ko01002 Cysteine peptidases > Family C19: ubiquitin-specific protease family;hydrolase=ec:3.4.19.12;peptidase=ec:3.4.19.12;protease=ec:3.4.19.12;transcription=brite:ko03021 Eukaryotic type > RNA polymerase II system > Coactivators > SAGA/TFTC/STAGA complex
K11367	atp_binding,atpase,dna_binding,hydrolase,isomerase,transcription	atp_binding=swissprot:7/7;atpase=swissprot:7/7;dna_binding=text:DNA-binding;hydrolase=swissprot:7/7;isomerase=ec:5.6.2.-;transcription=brite:ko03021 Eukaryotic type > RNA polymerase II system > Coactivators > SAGA/TFTC/STAGA complex
K11368	dna_binding,transcription	dna_binding=text:transcription factor;transcription=brite:ko03021 Eukaryotic type > RNA polymerase II system > Coactivators > SAGA/TFTC/STAGA complex
K11373	trna_modification	trna_modification=brite:ko03016 Eukaryotic type > tRNA modification factors > Elongator complex
K11374	trna_modification	trna_modification=brite:ko03016 Eukaryotic type > tRNA modification factors > Elongator complex
K11375	trna_modification	trna_modification=brite:ko03016 Eukaryotic type > tRNA modification factors > Elongator complex
K11376	trna_modification	trna_modification=brite:ko03016 Eukaryotic type > tRNA modification factors > Elongator complex
K11377	trna_modification	trna_modification=brite:ko03016 Eukaryotic type > tRNA modification factors > Elongator complex
K11378	acetyltransferase,transferase	acetyltransferase=text:acetyltransferase;transferase=ec:2.3.1.48
K11381	complex_subunit,dehydrogenase,oxidoreductase	complex_subunit=module:M00036;dehydrogenase=text:dehydrogenase;oxidoreductase=ec:1.2.4.4
K11382	mfs_transporter,transporter	mfs_transporter=brite:ko02000 Major facilitator superfamily (MFS) > Phosphate and organophosphate transporters > Organophosphate:Pi antiporter (OPA) family [TC:2.A.1.4];transporter=brite:ko02000 Major facilitator superfamily (MFS) > Phosphate and organophosphate transporters > Organophosphate:Pi antiporter (OPA) family [TC:2.A.1.4]
K11383	kinase,sensor_kinase,transferase,two_component	kinase=text:kinase;sensor_kinase=ec:2.7.13.3;transferase=ec:2.7.13.3;two_component=ec:2.7.13.3
K11384	response_regulator,two_component	response_regulator=brite:ko02022 NtrC family > KinB-AlgB (alginate production);two_component=brite:ko02022 NtrC family > KinB-AlgB (alginate production)
K11385	carbohydrate_active,glycosyltransferase,transferase	carbohydrate_active=brite:ko01003 Polysaccharide > Bacterial polysaccharide (excluding LPS);glycosyltransferase=ec:2.4.2.-;transferase=ec:2.4.2.-
K11386	carbohydrate_active,glycosyltransferase,transferase	carbohydrate_active=brite:ko01003 Polysaccharide > Bacterial polysaccharide (excluding LPS);glycosyltransferase=ec:2.4.2.-;transferase=ec:2.4.2.-
K11387	carbohydrate_active,glycosyltransferase,transferase	carbohydrate_active=brite:ko01003 Polysaccharide > Bacterial polysaccharide (excluding LPS);glycosyltransferase=ec:2.4.2.-;transferase=ec:2.4.2.-
K11389	dehydrogenase,glycolysis,oxidoreductase	dehydrogenase=text:dehydrogenase;glycolysis=module:M00001;oxidoreductase=ec:1.2.7.6
K11390	lyase	lyase=ec:4.1.3.25
K11391	methyltransferase,transferase	methyltransferase=ec:2.1.1.174;transferase=ec:2.1.1.174
K11392	methyltransferase,transferase	methyltransferase=ec:2.1.1.178;transferase=ec:2.1.1.178
K11393	methyltransferase,transferase	methyltransferase=ec:2.1.1.346;transferase=ec:2.1.1.346
K11394	dehydrogenase,oxidoreductase	dehydrogenase=text:dehydrogenase;oxidoreductase=ec:1.5.5.3
K11395	entner_doudoroff,lyase	entner_doudoroff=module:M00309;lyase=ec:4.1.2.55
K11401	acetyltransferase,transferase	acetyltransferase=text:acetyltransferase;transferase=ec:2.3.1.48
K11404	amidase,hydrolase	amidase=ec:3.5.1.98;hydrolase=ec:3.5.1.98
K11405	amidase,hydrolase	amidase=ec:3.5.1.98;hydrolase=ec:3.5.1.98
K11406	amidase,hydrolase	amidase=ec:3.5.1.98;hydrolase=ec:3.5.1.98
K11407	amidase,hydrolase	amidase=ec:3.5.1.98;hydrolase=ec:3.5.1.98
K11408	amidase,hydrolase	amidase=ec:3.5.1.98;hydrolase=ec:3.5.1.98
K11409	amidase,hydrolase	amidase=ec:3.5.1.98;hydrolase=ec:3.5.1.98
K11410	dehydrogenase,flavin_binding,oxidoreductase	dehydrogenase=text:dehydrogenase;flavin_binding=ec:1.3.8.5;oxidoreductase=ec:1.3.8.5
K11411	nad_binding,transferase	nad_binding=text:NAD-dependent;transferase=ec:2.3.1.286
K11412	nad_binding,transferase	nad_binding=text:NAD-dependent;transferase=ec:2.3.1.286
K11413	nad_binding,transferase	nad_binding=text:NAD-dependent;transferase=ec:2.3.1.286
K11414	cytoplasmic,nad_binding,transferase	cytoplasmic=swissprot:7/7;nad_binding=text:NAD-dependent;transferase=ec:2.3.1.286
K11415	nad_binding,transferase	nad_binding=text:NAD-dependent;transferase=ec:2.3.1.286
K11416	nad_binding,transferase	nad_binding=text:NAD-dependent;transferase=ec:2.3.1.286
K11417	nad_binding,transferase	nad_binding=text:NAD-dependent;transferase=ec:2.3.1.286
K11418	amidase,hydrolase	amidase=ec:3.5.1.98;hydrolase=ec:3.5.1.98
K11419	methyltransferase,transferase	methyltransferase=ec:2.1.1.355;transferase=ec:2.1.1.355
