# Pfam/GO/ENZYME facts behind pfam_predicates.tsv (generated).
# Pfam: Pfam-A.hmm sha256 8bab3a946e6d99a4 (24076 families); Pfam-A.clans.tsv.gz (30134 families)
# GO: pfam2go sha256 30274dd59c468d70; go-basic.obo sha256 b08d45b268b8c24c
# ENZYME: enzyme.dat sha256 6e1f553fcaa15ba7
# accession	name	description	go_anchors	enzymes
PF00318	Ribosomal_S2	Ribosomal protein S2	GO:0003735,GO:0005198,GO:0005840,GO:0006412,GO:0009058	
PF00319	SRF-TF	SRF-type transcription factor (DNA-binding and dimerisation domain)	GO:0003677,GO:0005488,GO:0005515	
PF00320	GATA	GATA zinc finger	GO:0003677,GO:0005488,GO:0006355,GO:0019222,GO:0043565,GO:0065007	
PF00324	AA_permease	Amino acid permease	GO:0006810,GO:0016020,GO:0055085	
PF00325	Crp	Bacterial regulatory proteins, crp family	GO:0003677,GO:0005488,GO:0006355,GO:0019222,GO:0065007	
PF00326	Peptidase_S9	Prolyl oligopeptidase family	GO:0003824,GO:0006508,GO:0008233,GO:0016787	prolyl oligopeptidase=3.4.21.26
PF00327	Ribosomal_L30	Ribosomal protein L30p/L7e		
PF00328	His_Phos_2	Histidine phosphatase superfamily (branch 2)		
PF00329	Complex1_30kDa	Respiratory-chain NADH dehydrogenase, 30 Kd subunit	GO:0003824,GO:0005215,GO:0009055,GO:0015075,GO:0016491,GO:0022857	nadh dehydrogenase=7.1.1.2
PF00330	Aconitase	Aconitase family (aconitate hydratase)		aconitase=4.2.1.3;aconitate hydratase=4.2.1.3
PF00331	Glyco_hydro_10	Glycosyl hydrolase family 10	GO:0003824,GO:0004553,GO:0005975,GO:0016787,GO:0016798	
PF00332	Glyco_hydro_17	Glycosyl hydrolases family 17	GO:0003824,GO:0004553,GO:0005975,GO:0016787,GO:0016798	
PF00333	Ribosomal_S5	Ribosomal protein S5, N-terminal domain	GO:0003723,GO:0003735,GO:0005198,GO:0005488,GO:0005840,GO:0006412,GO:0009058	
PF00334	NDK	Nucleoside diphosphate kinase		
PF00336	DNA_pol_viral_C	DNA polymerase (viral) C-terminal domain	GO:0003824,GO:0004518,GO:0004519,GO:0004540,GO:0016787,GO:0016788	
PF00337	Gal-bind_lectin	Galactoside-binding lectin	GO:0005488,GO:0030246	
PF00338	Ribosomal_S10	Ribosomal protein S10p/S20e		
PF00342	PGI	Phosphoglucose isomerase	GO:0003824,GO:0005975,GO:0006090,GO:0006091,GO:0006094,GO:0006096,GO:0006163,GO:0009058,GO:0009060,GO:0009117,GO:0015980,GO:0016853,GO:0019318,GO:0045333,GO:0055086	phosphoglucose isomerase=5.3.1.9
PF00343	Phosphorylase	Carbohydrate phosphorylase	GO:0003824,GO:0005975,GO:0016740,GO:0016757	
PF00344	SecY	SecY	GO:0006810,GO:0015031,GO:0016020	
PF00345	PapD_N	Pili and flagellar-assembly chaperone, PapD N-terminal domain	GO:0005576,GO:0042597,GO:0071555	
PF00346	Complex1_49kDa	Respiratory-chain NADH dehydrogenase, 49 Kd subunit	GO:0000166,GO:0003824,GO:0005488,GO:0016491,GO:0051287	nadh dehydrogenase=7.1.1.2
PF00347	Ribosomal_L6	Ribosomal protein L6	GO:0003723,GO:0003735,GO:0005198,GO:0005488,GO:0005840,GO:0006412,GO:0009058,GO:0019843	
PF00348	polyprenyl_synt	Polyprenyl synthetase	GO:0003824,GO:0006629,GO:0006720,GO:0008299,GO:0008610,GO:0009058,GO:0016740	
PF00349	Hexokinase_1	Hexokinase	GO:0000166,GO:0005488,GO:0005524,GO:0005975	hexokinase=2.7.1.1
PF00352	TBP	Transcription factor TFIID (or TATA-binding protein, TBP)	GO:0003677,GO:0005488,GO:0006351,GO:0006352,GO:0009058,GO:0016070	
PF00353	HemolysinCabind	RTX calcium-binding nonapeptide repeat (4 copies)	GO:0005488,GO:0005509,GO:0046872	
PF00355	Rieske	Rieske [2Fe-2S] domain	GO:0005488,GO:0051536,GO:0051537	
PF00356	LacI	Bacterial regulatory proteins, lacI family	GO:0003677,GO:0005488,GO:0006355,GO:0019222,GO:0065007	
PF00358	PTS_EIIA_1	phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 1	GO:0006810,GO:0008643,GO:0055085	phosphotransferase=2.7.4.27|2.7.4.28
PF00359	PTS_EIIA_2	Phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2		phosphotransferase=2.7.4.27|2.7.4.28
PF00361	Proton_antipo_M	NADH:quinone oxidoreductase/Mrp antiporter, TM		
PF00364	Biotin_lipoyl	Biotin-requiring enzyme		
PF00365	PFK	Phosphofructokinase	GO:0003824,GO:0005975,GO:0006090,GO:0006091,GO:0006096,GO:0006163,GO:0009060,GO:0009117,GO:0015980,GO:0016301,GO:0016740,GO:0016772,GO:0045333,GO:0055086	
PF00366	Ribosomal_S17	Ribosomal protein S17	GO:0003735,GO:0005198,GO:0005840,GO:0006412,GO:0009058	
PF00367	PTS_EIIB	phosphotransferase system, EIIB	GO:0003824,GO:0005215,GO:0016740,GO:0016772,GO:0022857	phosphotransferase=2.7.4.27|2.7.4.28
PF00368	HMG-CoA_red	Hydroxymethylglutaryl-coenzyme A reductase	GO:0003824,GO:0006790,GO:0016491,GO:0055086	
PF00370	FGGY_N	FGGY family of carbohydrate kinases, N-terminal domain	GO:0003824,GO:0005975,GO:0016301,GO:0016740,GO:0016772	
PF00372	Hemocyanin_M	Hemocyanin, copper containing domain		
PF00374	NiFeSe_Hases	Nickel-dependent hydrogenase	GO:0005488,GO:0016151,GO:0046872	hydrogenase=1.12.1.2|1.12.7.2|1.12.99.6
PF00375	SDF	Sodium:dicarboxylate symporter family	GO:0005215,GO:0015293,GO:0016020,GO:0022857	
PF00376	MerR	MerR family regulatory protein	GO:0003677,GO:0005488,GO:0006355,GO:0019222,GO:0065007	
PF00378	ECH_1	Enoyl-CoA hydratase/isomerase		
PF00379	Chitin_bind_4	Insect cuticle protein	GO:0005198,GO:0005576,GO:0030312	
PF00380	Ribosomal_S9	Ribosomal protein S9/S16	GO:0003735,GO:0005198,GO:0005840,GO:0006412,GO:0009058	
PF00382	TFIIB	Transcription factor TFIIB repeat	GO:0005488,GO:0005515	
PF00383	dCMP_cyt_deam_1	Cytidine and deoxycytidylate deaminase zinc-binding region		deoxycytidylate deaminase=3.5.4.12
PF00384	Molybdopterin	Molybdopterin oxidoreductase	GO:0003824,GO:0016491	
PF00387	PI-PLC-Y	Phosphatidylinositol-specific phospholipase C, Y domain	GO:0003824,GO:0004620,GO:0006629,GO:0007165,GO:0008081,GO:0016787,GO:0016788,GO:0023052,GO:0035556,GO:0065007	phosphatidylinositol-specific phospholipase c=4.6.1.14;phospholipase c=3.1.4.3
PF00388	PI-PLC-X	Phosphatidylinositol-specific phospholipase C, X domain		phosphatidylinositol-specific phospholipase c=4.6.1.14;phospholipase c=3.1.4.3
PF00389	2-Hacid_dh	D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain	GO:0000166,GO:0003824,GO:0005488,GO:0016491,GO:0051287	
PF00390	malic	Malic enzyme, N-terminal domain	GO:0003824,GO:0016491	malic enzyme=1.1.1.38|1.1.1.39|1.1.1.40
PF00391	PEP-utilizers	PEP-utilising enzyme, mobile domain	GO:0003824,GO:0016740,GO:0016772	
PF00392	GntR	Bacterial regulatory proteins, gntR family	GO:0003700,GO:0006355,GO:0019222,GO:0065007,GO:0140110	
PF00393	6PGD	6-phosphogluconate dehydrogenase, C-terminal domain	GO:0003824,GO:0006091,GO:0006098,GO:0006163,GO:0009117,GO:0016491,GO:0055086	
PF00394	Cu-oxidase	Multicopper oxidase		
PF00395	SLH	S-layer homology domain		
PF00398	RrnaAD	Ribosomal RNA adenine dimethylase		
PF00400	WD40	WD domain, G-beta repeat	GO:0005488,GO:0005515	
PF00401	ATP-synt_DE	ATP synthase, Delta/Epsilon chain, long alpha-helix domain		atp synthase=7.1.2.2
PF00403	HMA	Heavy-metal-associated domain	GO:0005488,GO:0046872	
PF00404	Dockerin_1	Dockerin type I domain	GO:0000272,GO:0003824,GO:0004553,GO:0005975,GO:0016787,GO:0016798	
PF00406	ADK	Adenylate kinase		adenylate kinase=2.7.4.11|2.7.4.3
PF00408	PGM_PMM_IV	Phosphoglucomutase/phosphomannomutase, C-terminal domain	GO:0003824,GO:0016853,GO:0016866	
PF00410	Ribosomal_S8	Ribosomal protein S8	GO:0003735,GO:0005198,GO:0005840,GO:0006412,GO:0009058	
PF00411	Ribosomal_S11	Ribosomal protein S11	GO:0003735,GO:0005198,GO:0005840,GO:0006412,GO:0009058	
PF00413	Peptidase_M10	Matrixin	GO:0003824,GO:0005488,GO:0005576,GO:0006508,GO:0008233,GO:0008270,GO:0016787,GO:0030312,GO:0046872	
PF00415	RCC1	Regulator of chromosome condensation (RCC1) repeat		
PF00416	Ribosomal_S13	Ribosomal protein S13/S18	GO:0003723,GO:0003735,GO:0005198,GO:0005488,GO:0005840,GO:0006412,GO:0009058	
PF00418	Tubulin-binding	Tau and MAP protein, tubulin-binding repeat	GO:0005488,GO:0005515	
PF00419	Fimbrial	Fimbrial protein	GO:0007155,GO:0009289	
PF00420	Oxidored_q2	NADH-ubiquinone/plastoquinone oxidoreductase chain 4L		
PF00421	PSII	Photosystem II protein	GO:0005488,GO:0006091,GO:0009521,GO:0009767,GO:0015979,GO:0016020,GO:0016168,GO:0019684,GO:0022900,GO:0046906	photosystem ii=1.10.3.9
PF00423	HN	Haemagglutinin-neuraminidase	GO:0005488,GO:0019058,GO:0044423,GO:0046789	
PF00425	Chorismate_bind	chorismate binding enzyme		
PF00426	VP4_haemagglut	Outer Capsid protein VP4 (Hemagglutinin) Concanavalin-like domain	GO:0019028,GO:0019058,GO:0044423	
PF00427	PBS_linker_poly	Phycobilisome Linker polypeptide	GO:0015979,GO:0016020,GO:0030076,GO:0030089	
PF00428	Ribosomal_60s	60s Acidic ribosomal protein		
PF00429	TLV_coat	ENV polyprotein (coat polyprotein)		
PF00430	ATP-synt_B	ATP synthase B/B' CF(0)	GO:0005215,GO:0006163,GO:0006164,GO:0009058,GO:0009117,GO:0009165,GO:0015075,GO:0015986,GO:0016020,GO:0022857,GO:0045259,GO:0055086	atp synthase=7.1.2.2
PF00432	Prenyltrans	Prenyltransferase alpha-alpha toroid domain	GO:0003824	prenyltransferase=2.5.1.1
PF00433	Pkinase_C	Protein kinase C terminal domain	GO:0000166,GO:0003824,GO:0004674,GO:0005488,GO:0005524,GO:0016301,GO:0016740,GO:0016772,GO:0036211	protein kinase=2.7.13.1|2.7.13.2|2.7.13.3;protein kinase c=2.7.11.13
PF00434	VP7	Glycoprotein VP7	GO:0019028,GO:0044423	
PF00436	SSB	Single-strand binding protein family	GO:0003677,GO:0003697,GO:0005488	
PF00437	T2SSE	Type II/IV secretion system protein		
PF00438	S-AdoMet_synt_N	S-adenosylmethionine synthetase, N-terminal domain	GO:0003824,GO:0006790,GO:0009058,GO:0016740	s-adenosylmethionine synthetase=2.5.1.6
PF00440	TetR_N	Bacterial regulatory proteins, tetR family	GO:0003677,GO:0005488	
PF00441	Acyl-CoA_dh_1	Acyl-CoA dehydrogenase, C-terminal domain	GO:0003824,GO:0016491	
PF00443	UCH	Ubiquitin carboxyl-terminal hydrolase	GO:0003824,GO:0004843,GO:0008233,GO:0008234,GO:0016579,GO:0016787,GO:0036211,GO:0043687,GO:0101005	
PF00444	Ribosomal_L36	Ribosomal protein L36	GO:0003735,GO:0005198,GO:0005840,GO:0006412,GO:0009058	
PF00445	Ribonuclease_T2	Ribonuclease T2 family	GO:0003723,GO:0003824,GO:0004518,GO:0004519,GO:0004540,GO:0005488,GO:0016829	ribonuclease t2=4.6.1.19
PF00447	HSF_DNA-bind	HSF-type DNA-binding	GO:0003677,GO:0003700,GO:0005488,GO:0006355,GO:0019222,GO:0043565,GO:0065007,GO:0140110	
PF00448	SRP54	SRP54-type protein, GTPase domain	GO:0000166,GO:0005488,GO:0005525,GO:0006605,GO:0006614,GO:0019001	
PF00449	Urease_alpha	Urease alpha-subunit, N-terminal domain		
PF00450	Peptidase_S10	Serine carboxypeptidase	GO:0003824,GO:0006508,GO:0008233,GO:0016787	
PF00451	Toxin_2	Scorpion short toxin, BmKK2	GO:0005576	
PF00453	Ribosomal_L20	Ribosomal protein L20	GO:0003723,GO:0003735,GO:0005198,GO:0005488,GO:0005840,GO:0006412,GO:0009058,GO:0019843	
PF00454	PI3_PI4_kinase	Phosphatidylinositol 3- and 4-kinase		
PF00455	DeoRC	DeoR C terminal sensor domain		
PF00456	Transketolase_N	Transketolase, thiamine diphosphate binding domain		transketolase=2.2.1.1
PF00457	Glyco_hydro_11	Glycosyl hydrolases family 11		
PF00459	Inositol_P	Inositol monophosphatase family		
PF00460	Flg_bb_rod	Flagella basal body rod protein		
PF00462	Glutaredoxin	Glutaredoxin		
PF00463	ICL	Isocitrate lyase family	GO:0003824,GO:0004451,GO:0016829	isocitrate lyase=4.1.3.1
PF00464	SHMT	Serine hydroxymethyltransferase		serine hydroxymethyltransferase=2.1.2.1
PF00465	Fe-ADH	Iron-containing alcohol dehydrogenase	GO:0003824,GO:0005488,GO:0016491,GO:0046872	alcohol dehydrogenase=1.1.1.1|1.1.2.8|1.1.5.5|1.1.9.1|1.1.99.36
PF00466	Ribosomal_L10	Ribosomal protein L10		
PF00467	KOW	KOW motif		
PF00468	Ribosomal_L34	Ribosomal protein L34	GO:0003735,GO:0005198,GO:0005840,GO:0006412,GO:0009058	
PF00471	Ribosomal_L33	Ribosomal protein L33	GO:0003735,GO:0005198,GO:0005840,GO:0006412,GO:0009058	
PF00472	RF-1	RF-1 domain	GO:0003747,GO:0006412,GO:0006415,GO:0009058	
PF00474	SSF	Sodium:solute symporter family	GO:0005215,GO:0006810,GO:0016020,GO:0022857,GO:0055085	
PF00475	IGPD	Imidazoleglycerol-phosphate dehydratase	GO:0000105,GO:0003824,GO:0006520,GO:0008652,GO:0009058,GO:0009072,GO:0009073,GO:0016829,GO:0016836	imidazoleglycerol-phosphate dehydratase=4.2.1.19
PF00476	DNA_pol_A	DNA polymerase family A	GO:0003677,GO:0003824,GO:0003887,GO:0005488,GO:0006260,GO:0016740,GO:0016772,GO:0016779,GO:0034061	
PF00478	IMPDH	IMP dehydrogenase / GMP reductase domain	GO:0003824	gmp reductase=1.7.1.7;imp dehydrogenase=1.1.1.205
PF00479	G6PD_N	Glucose-6-phosphate dehydrogenase, NAD binding domain	GO:0000166,GO:0005488,GO:0005975,GO:0019318,GO:0050661	glucose-6-phosphate dehydrogenase=1.1.1.49|1.1.98.2
PF00480	ROK	ROK family		
PF00481	PP2C	Protein phosphatase 2C		
PF00482	T2SSF	Type II secretion system (T2SS), protein F		
PF00483	NTP_transferase	Nucleotidyl transferase	GO:0009058	
PF00484	Pro_CA	Carbonic anhydrase	GO:0003824,GO:0005488,GO:0008270,GO:0016829,GO:0016836,GO:0046872	carbonic anhydrase=4.2.1.1
PF00485	PRK	Phosphoribulokinase / Uridine kinase family	GO:0000166,GO:0003824,GO:0005488,GO:0005524,GO:0016301,GO:0016740,GO:0016772	phosphoribulokinase=2.7.1.19
PF00486	Trans_reg_C	Transcriptional regulatory protein, C terminal	GO:0000160,GO:0003677,GO:0005488,GO:0006355,GO:0007165,GO:0019222,GO:0023052,GO:0035556,GO:0065007	protein c=3.4.21.69
PF00487	FA_desaturase	Fatty acid desaturase	GO:0006629	fatty acid desaturase=1.14.19.1
PF00488	MutS_V	MutS domain V	GO:0000166,GO:0003677,GO:0005488,GO:0005524,GO:0006281,GO:0006298,GO:0006950,GO:0030983	
PF00490	ALAD	Delta-aminolevulinic acid dehydratase	GO:0003824,GO:0005488,GO:0009058,GO:0016829,GO:0016836,GO:0033014,GO:0046872	delta-aminolevulinic acid dehydratase=4.2.1.24
PF00491	Arginase	Arginase family	GO:0005488,GO:0046872	arginase=3.5.3.1
PF00493	MCM	MCM P-loop domain	GO:0000166,GO:0003677,GO:0005488,GO:0005524	
PF00494	SQS_PSY	Squalene/phytoene synthase	GO:0009058	
PF00496	SBP_bac_5	Bacterial extracellular solute-binding proteins, family 5 Middle		
PF00497	SBP_bac_3	Bacterial extracellular solute-binding proteins, family 3		
PF00498	FHA	FHA domain	GO:0005488,GO:0005515	
PF00499	Oxidored_q3	NADH-ubiquinone/plastoquinone oxidoreductase chain 6	GO:0003824,GO:0005215,GO:0009055,GO:0015075,GO:0016491,GO:0022857	
PF00501	AMP-binding	AMP-binding enzyme		
PF00502	Phycobilisome	Phycobilisome protein	GO:0015979,GO:0016020,GO:0030076,GO:0030089	
PF00503	G-alpha	G-protein alpha subunit	GO:0000166,GO:0003824,GO:0003924,GO:0005488,GO:0007165,GO:0016787,GO:0019001,GO:0023052,GO:0065007	
PF00504	Chloroa_b-bind	Chlorophyll A-B binding protein		
PF00507	Oxidored_q4	NADH-ubiquinone/plastoquinone oxidoreductase, chain 3	GO:0003824,GO:0005215,GO:0009055,GO:0015075,GO:0016491,GO:0022857	
PF00510	COX3	Cytochrome c oxidase subunit III	GO:0003824,GO:0004129,GO:0005215,GO:0009055,GO:0015075,GO:0016020,GO:0016491,GO:0022857	
PF00512	HisKA	His Kinase A (phospho-acceptor) domain	GO:0000155,GO:0003824,GO:0004673,GO:0007165,GO:0016301,GO:0016740,GO:0016772,GO:0023052,GO:0065007	
PF00515	TPR_1	Tetratricopeptide repeat	GO:0005488,GO:0005515	
PF00519	PPV_E1_C	Papillomavirus helicase	GO:0000166,GO:0003677,GO:0003824,GO:0004386,GO:0005488,GO:0005524,GO:0006260,GO:0016853	
PF00520	Ion_trans	Ion transport protein	GO:0005215,GO:0005216,GO:0006810,GO:0006811,GO:0015075,GO:0015267,GO:0016020,GO:0022857,GO:0055085	
PF00521	DNA_topoisoIV	DNA gyrase/topoisomerase IV, subunit A	GO:0000166,GO:0003677,GO:0003824,GO:0003916,GO:0005488,GO:0005524,GO:0006265,GO:0016853	
PF00528	BPD_transp_1	Binding-protein-dependent transport system inner membrane component	GO:0006810,GO:0016020,GO:0055085	
PF00529	CusB_dom_1	Cation efflux system protein CusB domain 1		
PF00532	Peripla_BP_1	Periplasmic binding proteins and sugar binding domain of LacI family		
PF00534	Glycos_transf_1	Glycosyl transferases group 1	GO:0003824,GO:0016740,GO:0016757	
PF00535	Glycos_transf_2	Glycosyl transferase family 2		
PF00537	Toxin_3	Scorpion toxin-like domain	GO:0005576	
PF00542	Ribosomal_L12	Ribosomal protein L7/L12 C-terminal domain	GO:0003735,GO:0005198,GO:0006412,GO:0009058	
PF00543	P-II	Nitrogen regulatory protein P-II	GO:0065007	
PF00544	Pectate_lyase_4	Pectate lyase		pectate lyase=4.2.2.2
PF00545	Ribonuclease	ribonuclease	GO:0003723,GO:0003824,GO:0004518,GO:0004519,GO:0004540,GO:0005488	
PF00547	Urease_gamma	Urease, gamma subunit	GO:0005488,GO:0016151,GO:0019627,GO:0043419,GO:0046872,GO:0071941	
PF00548	Peptidase_C3	3C cysteine protease (picornain 3C)	GO:0003824,GO:0006508,GO:0008233,GO:0008234,GO:0016787	picornain 3c=3.4.22.28
PF00549	Ligase_CoA	CoA-ligase	GO:0003824	
PF00550	PP-binding	Phosphopantetheine attachment site		
PF00551	Formyl_trans_N	Formyl transferase	GO:0009058	
PF00552	IN_DBD_C	Integrase DNA binding domain	GO:0005488	
PF00553	CBM_2	Cellulose binding domain	GO:0003824,GO:0004553,GO:0005488,GO:0005975,GO:0016787,GO:0016798,GO:0030246	
PF00554	RHD_DNA_bind	Rel homology DNA-binding domain	GO:0003677,GO:0003700,GO:0005488,GO:0006355,GO:0019222,GO:0065007,GO:0140110	
PF00556	LHC	Antenna complex alpha/beta subunit	GO:0005737,GO:0006091,GO:0015979,GO:0016020,GO:0019684,GO:0030076	
PF00557	Peptidase_M24	Metallopeptidase family M24		
PF00560	LRR_1	Leucine Rich Repeat	GO:0005488,GO:0005515	
PF00561	Abhydrolase_1	alpha/beta hydrolase fold		
PF00562	RNA_pol_Rpb2_6	RNA polymerase Rpb2, domain 6	GO:0003677,GO:0003824,GO:0003899,GO:0005488,GO:0006351,GO:0009058,GO:0016070,GO:0016740,GO:0016772,GO:0016779	
PF00563	EAL	EAL domain		
PF00565	SNase	Staphylococcal nuclease homologue		
PF00566	RabGAP-TBC	Rab-GTPase-TBC domain		
PF00569	ZZ	Zinc finger, ZZ type	GO:0005488,GO:0008270,GO:0046872	
PF00571	CBS	CBS domain		
PF00572	Ribosomal_L13	Ribosomal protein L13	GO:0003735,GO:0005198,GO:0005840,GO:0006412,GO:0009058	
PF00573	Ribosomal_L4	Ribosomal protein L4/L1 family	GO:0003735,GO:0005198,GO:0005840,GO:0006412,GO:0009058	
PF00574	CLP_protease	Clp protease		
PF00575	S1	S1 RNA binding domain	GO:0005488	
PF00577	Usher	Outer membrane usher protein	GO:0005215,GO:0015267,GO:0015288,GO:0016020,GO:0022857	
PF00578	AhpC-TSA	AhpC/TSA family	GO:0003824,GO:0016209,GO:0016491	
PF00579	tRNA-synt_1b	tRNA synthetases class I (W and Y)	GO:0000166,GO:0003824,GO:0004812,GO:0005488,GO:0005524,GO:0006412,GO:0006418,GO:0006520,GO:0009058,GO:0016070,GO:0016874,GO:0043039	
PF00580	UvrD-helicase	UvrD/REP helicase N-terminal domain	GO:0000166,GO:0005488,GO:0005524	
PF00581	Rhodanese	Rhodanese-like domain		
PF00582	Usp	Universal stress protein family		
PF00583	Acetyltransf_1	Acetyltransferase (GNAT) family	GO:0003824,GO:0016740	
PF00584	SecE	SecE/Sec61-gamma subunits of protein translocation complex	GO:0006605,GO:0006810,GO:0006886,GO:0015031,GO:0016020	
PF00585	Thr_dehydrat_C	C-terminal regulatory domain of Threonine dehydratase		threonine dehydratase=4.3.1.19
PF00586	AIRS	AIR synthase related protein, N-terminal domain		air synthase=6.3.3.1
PF00587	tRNA-synt_2b	tRNA synthetase class II core domain (G, H, P, S and T)	GO:0000166,GO:0003824,GO:0004812,GO:0005488,GO:0005524,GO:0006412,GO:0006418,GO:0006520,GO:0009058,GO:0016070,GO:0016874,GO:0043039	
PF00588	SpoU_methylase	SpoU rRNA Methylase family	GO:0003723,GO:0003824,GO:0005488,GO:0006396,GO:0008168,GO:0009058,GO:0016070,GO:0016740	
PF00589	Phage_integrase	Phage integrase family	GO:0003677,GO:0005488,GO:0006310,GO:0015074	
PF00590	TP_methylase	Tetrapyrrole (Corrin/Porphyrin) Methylases	GO:0003824,GO:0008168,GO:0016740	
PF00591	Glycos_transf_3	Glycosyl transferase family, a/b domain	GO:0003824,GO:0016740,GO:0016757	
PF00593	TonB_dep_Rec_b-barrel	TonB dependent receptor-like, beta-barrel		
PF00595	PDZ	PDZ domain	GO:0005488,GO:0005515	
PF00596	Aldolase_II	Class II Aldolase and Adducin N-terminal domain		aldolase=4.1.2.13
PF00602	Flu_PB1	Influenza RNA-dependent RNA polymerase subunit PB1	GO:0003723,GO:0003824,GO:0005488,GO:0009058,GO:0016070,GO:0016740,GO:0016772,GO:0016779,GO:0019058	
PF00603	Flu_PA	Influenza RNA-dependent RNA polymerase subunit PA	GO:0003723,GO:0005488,GO:0009058,GO:0016070,GO:0019058	
PF00604	Flu_PB2_5th	Influenza RNA polymerase PB2 CAP binding domain		
PF00605	IRF	Interferon regulatory factor transcription factor	GO:0003677,GO:0005488,GO:0043565	
PF00609	DAGK_acc	Diacylglycerol kinase accessory domain	GO:0003824,GO:0007165,GO:0016301,GO:0016740,GO:0016772,GO:0023052,GO:0065007	diacylglycerol kinase=2.7.1.107|2.7.1.174
PF00612	IQ	IQ calmodulin-binding motif	GO:0005488,GO:0005515	
PF00613	PI3Ka	Phosphoinositide 3-kinase family, accessory domain (PIK domain)		phosphoinositide 3-kinase=2.7.1.154
PF00614	PLDc	Phospholipase D Active site motif	GO:0003824	phospholipase d=3.1.4.4
PF00623	RNA_pol_Rpb1_2	RNA polymerase Rpb1, domain 2	GO:0003677,GO:0003824,GO:0003899,GO:0005488,GO:0006351,GO:0009058,GO:0016070,GO:0016740,GO:0016772,GO:0016779	
PF00625	Guanylate_kin	Guanylate kinase		guanylate kinase=2.7.4.8
PF00632	HECT	HECT-domain (ubiquitin-transferase)	GO:0003824,GO:0004842,GO:0016740	
PF00633	HHH	Helix-hairpin-helix motif	GO:0003677,GO:0005488	
PF00636	Ribonuclease_3	Ribonuclease III domain	GO:0003824,GO:0004518,GO:0004519,GO:0004540,GO:0006396,GO:0009058,GO:0016070,GO:0016787,GO:0016788	ribonuclease iii=3.1.26.3
PF00639	Rotamase	PPIC-type PPIASE domain	GO:0003755,GO:0003824,GO:0016853	
PF00641	Zn_ribbon_RanBP	Zn-finger in Ran binding protein and others		
PF00642	zf-CCCH	Zinc finger C-x8-C-x5-C-x3-H type (and similar)	GO:0005488,GO:0046872	
PF00643	zf-B_box	B-box zinc finger	GO:0005488,GO:0008270,GO:0046872	
PF00645	zf-PARP	Poly(ADP-ribose) polymerase and DNA-Ligase Zn-finger region	GO:0003677,GO:0005488,GO:0008270,GO:0046872	
PF00647	EF1G	Elongation factor 1 gamma, conserved domain	GO:0003746,GO:0006412,GO:0006414,GO:0009058	elongation factor=3.6.5.3
PF00648	Peptidase_C2	Calpain family cysteine protease	GO:0003824,GO:0006508,GO:0008233,GO:0008234,GO:0016787	
PF00649	Copper-fist	Copper fist DNA binding domain	GO:0003677,GO:0003700,GO:0005488,GO:0005507,GO:0006355,GO:0019222,GO:0046872,GO:0065007,GO:0140110	
PF00654	Voltage_CLC	Voltage gated chloride channel	GO:0005215,GO:0006810,GO:0006811,GO:0015075,GO:0016020,GO:0022857,GO:0055085	
PF00656	Peptidase_C14	Caspase domain	GO:0003824,GO:0006508,GO:0008233,GO:0008234,GO:0016787	
PF00657	Lipase_GDSL	GDSL-like Lipase/Acylhydrolase	GO:0003824,GO:0016787,GO:0016788	
PF00662	Proton_antipo_N	NADH-Ubiquinone oxidoreductase (complex I), chain 5 N-terminus		complex i=7.1.1.2;nadh-ubiquinone oxidoreductase=1.6.5.9|7.1.1.2
PF00664	ABC_membrane	ABC transporter transmembrane region	GO:0000166,GO:0005215,GO:0005488,GO:0005524,GO:0006810,GO:0016020,GO:0022857,GO:0042626,GO:0055085,GO:0140359	
PF00665	rve	Integrase core domain	GO:0015074	
PF00667	FAD_binding_1	FAD binding domain	GO:0003824,GO:0016491	
PF00668	Condensation	Condensation domain	GO:0003824	
PF00669	Flagellin_N	Bacterial flagellin N-terminal helical region	GO:0005198	
PF00670	AdoHcyase_NAD	S-adenosyl-L-homocysteine hydrolase, NAD binding domain		
PF00672	HAMP	HAMP domain	GO:0007165,GO:0016020,GO:0023052,GO:0065007	
PF00673	Ribosomal_L5_C	ribosomal L5P family C-terminus		
PF00675	Peptidase_M16	Insulinase (Peptidase family M16)		insulinase=3.4.24.56
PF00676	E1_dh	Dehydrogenase E1 component	GO:0003824,GO:0016491	
PF00677	Lum_binding	Lumazine binding domain		
PF00679	EFG_C	Elongation factor G C-terminus		elongation factor=3.6.5.3
